Datetime,disp
2017/1/1,0
2017/2/1,0.160753399
2017/3/1,0.242014721
2017/4/1,0.295763552
2017/5/1,0.406814933
2017/6/1,0.618060827
2017/7/1,0.849681914
2017/8/1,0.909983993
2017/9/1,0.623400152
2017/10/1,-0.766278088
2017/11/1,-1.331268787
2017/12/1,-0.752952754
2018/1/1,-0.555607378
2018/2/1,-0.344777048
2018/3/1,-0.079492688
2018/4/1,0.289613217
2018/5/1,0.835409403
2018/6/1,1.626015902
2018/7/1,3.889119387
2018/8/1,5.195753098
2018/9/1,6.496106148
2018/10/1,8.515920639
2018/11/1,8.284666061
2018/12/1,7.794351578
2019/1/1,7.66855526
2019/2/1,7.45610857
2019/3/1,7.080149174
2019/4/1,6.62294817
2019/5/1,6.284528255
2019/6/1,6.250788689
2019/7/1,6.555192471
2019/8/1,7.018112659
2019/9/1,7.23542738
2019/10/1,6.746289253
2019/11/1,6.07903862
2019/12/1,8.974194527
2020/1/1,5.393565655
2020/2/1,6.180664063
2020/3/1,6.729598045
2020/4/1,7.237821579
2020/5/1,7.777852058
2020/6/1,8.506534576
2020/7/1,9.563345909
2020/8/1,12.34043217
2020/9/1,13.42080307
2020/10/1,13.8841114
2020/11/1,13.64396381
2020/12/1,12.82311344
2021/1/1,11.73357105
2021/2/1,10.77981567
2021/3/1,10.27204704
2021/4/1,10.26355171
2021/5/1,10.55103016
2021/6/1,10.84179115
2021/7/1,10.95378017
2021/8/1,10.89962578
2021/9/1,10.82847595
2021/10/1,10.91586113
2021/11/1,11.2842207
2021/12/1,11.95433998
2022/1/1,13.6236887
2022/2/1,
2022/3/1,
2022/4/1,
